id,url,title,deal_type,price,price_per_m2,area_m2,rooms,floor,total_floors,location,county,city,district,property_type,build_year,condition,building_material,energy_certificate,first_seen,last_seen,is_active
3752439,https://www.kv.ee/kortermuuki-on-tulnud-avara-planeeringuga-464-m-su-3752439.html,"Harjumaa, Tallinn, Kristiine, Järve tn 2",sale,232000,5000.0,46.4,2,8,19,"Harjumaa, Tallinn, Kristiine, Järve tn 2",Harjumaa,Tallinn,Kristiine,apartment,2022,,,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3754751,https://www.kv.ee/tegemist-on-2toalise-korteriga-kadriorulasnamae-pi-3754751.html,"Harjumaa, Tallinn, Lasnamäe, Raudsüdame 2",sale,200000,4367.0,45.8,2,1,2,"Harjumaa, Tallinn, Lasnamäe, Raudsüdame 2",Harjumaa,Tallinn,Lasnamäe,apartment,1972,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3756802,https://www.kv.ee/muua-2toaline-korter-suurusega-53-m-ja-28-m-terras-3756802.html,"Harjumaa, Tallinn, Kesklinn, Kassisaba, Tehnika tn 33-2",sale,275000,5189.0,53.0,2,1,5,"Harjumaa, Tallinn, Kesklinn, Kassisaba, Tehnika tn 33-2",Harjumaa,Tallinn,Kesklinn,apartment,2015,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3769891,https://www.kv.ee/muua-2toaline-korter-soo-tn-1b-pohjatallinn-tallin-3769891.html,"Harjumaa, Tallinn, Põhja-Tallinn, Kalamaja, Soo tn 1b/6-66",sale,240000,4537.0,52.9,2,2,4,"Harjumaa, Tallinn, Põhja-Tallinn, Kalamaja, Soo tn 1b/6-66",Harjumaa,Tallinn,Põhja-Tallinn,apartment,2013,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3782788,https://www.kv.ee/muuki-on-tulnud-suureparases-seisukorras-sisustatu-3782788.html,"Harjumaa, Tallinn, Kesklinn, Veerenni, Vana-Lõuna tn 39",sale,276000,3391.0,81.4,2,4,4,"Harjumaa, Tallinn, Kesklinn, Veerenni, Vana-Lõuna tn 39",Harjumaa,Tallinn,Kesklinn,apartment,2010,new,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3810502,https://www.kv.ee/valguskullane-2toaline-korter-valge-tn-10-ideaalne-3810502.html,"Harjumaa, Tallinn, Lasnamäe, Valge tn 10",sale,208000,4906.0,42.4,2,1,4,"Harjumaa, Tallinn, Lasnamäe, Valge tn 10",Harjumaa,Tallinn,Lasnamäe,apartment,2020,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3812265,https://www.kv.ee/muua-hubane-2toaline-korter-hinnatud-asukohas-kass-3812265.html,"Harjumaa, Tallinn, Kesklinn, Villardi tn 9",sale,223000,4407.0,50.6,2,1,4,"Harjumaa, Tallinn, Kesklinn, Villardi tn 9",Harjumaa,Tallinn,Kesklinn,apartment,2013,,,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3813363,https://www.kv.ee/korter2toaline-avar-korter-on-maja-viimasel-korrus-3813363.html,"Harjumaa, Tallinn, Kristiine, Välja tn 3/2",sale,254000,4240.0,59.9,2,3,3,"Harjumaa, Tallinn, Kristiine, Välja tn 3/2",Harjumaa,Tallinn,Kristiine,apartment,2017,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3814343,https://www.kv.ee/kliendipaev-teisipaeval-13-01-kell-17001900-vajali-3814343.html,"Harjumaa, Tallinn, Kesklinn, Tatari tn 27",sale,285000,3540.0,80.5,2,5,5,"Harjumaa, Tallinn, Kesklinn, Tatari tn 27",Harjumaa,Tallinn,Kesklinn,apartment,2004,,stone,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3818022,https://www.kv.ee/korteri-boonused-super-asukoht-sisehoovis-paiknev-3818022.html,"Harjumaa, Tallinn, Põhja-Tallinn, Telliskivi tn 46/2",sale,276000,4694.0,58.8,2,1,2,"Harjumaa, Tallinn, Põhja-Tallinn, Telliskivi tn 46/2",Harjumaa,Tallinn,Põhja-Tallinn,apartment,1935,,wood,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3818694,https://www.kv.ee/kliendipaev-toimub-ainult-eelregistreerimisega-see-3818694.html,"Harjumaa, Tallinn, Kadriorg, Raua 65",sale,205000,4869.0,42.1,2,2,5,"Harjumaa, Tallinn, Kadriorg, Raua 65",Harjumaa,Tallinn,Kadriorg,apartment,1937,,,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
3818747,https://www.kv.ee/see-on-korter-mis-muub-end-ise-kaasaegne-taielikul-3818747.html,"Harjumaa, Tallinn, Kadriorg, Raua 65",sale,205000,4869.0,42.1,1,2,5,"Harjumaa, Tallinn, Kadriorg, Raua 65",Harjumaa,Tallinn,Kadriorg,apartment,1937,,,,2026-01-11T11:06:39.353103,2026-01-11T11:06:39.353103,true
